year,age,event,category1,category2,Name,Career/Personal Life
1961,53,"Lyndon Johnson became president after the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963.",summary,,Lyndon Johnson,Career
1948,40,"In 1948, Lyndon Johnson was controversially declared winner in the Democratic Party's's primary for the 1948 Senate election in Texas and won the general election.",summary,,Lyndon Johnson,Career
1963,55,"Lyndon Johnson assumed the presidency in 1963, after John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963 was the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963.",summary,,Lyndon Johnson,Career
1965,57,"Lyndon Johnson made the Apollo program a national priority; enacted the Higher Education Act of 1965, which established federally insured student loans; and signed the Immigration and Nationality Act of 1965, which laid the groundwork for U.S. immigration policy today.",summary,,Lyndon Johnson,Career
1908,0,"Lyndon Johnson was born on August 27, 1908, near Stonewall, Texas, in a small farmhouse on the Pedernales River.",Early life,,Lyndon Johnson,Personal Life
1928,20,"For nine months, from 1928 to 1929, Lyndon Johnson paused Lyndon Johnson's studies to teach Mexican–American children at the segregated Welhausen School in Cotulla, 90 miles (140 km) south of San Antonio.",Early life,,Lyndon Johnson,Personal Life
1937,29,"Lyndon Johnson served in the House from April 10, 1937, to January 3, 1949.",U.S. House of Representatives (1937–1949),,Lyndon Johnson,Personal Life
1940,32,"Lyndon Johnson was appointed a lieutenant commander in the U.S. Naval Reserve on June 21, 1940.",U.S. House of Representatives (1937–1949),Active military duty (1941–1942),Lyndon Johnson,Personal Life
1941,33,"While serving as a U.S. representative, Lyndon Johnson was called to active duty three days after the Japanese attack on Pearl Harbor in December 1941.",U.S. House of Representatives (1937–1949),Active military duty (1941–1942),Lyndon Johnson,Personal Life
1942,34,"Lyndon Johnson was released from active duty on July 17, 1942, and remained in the U.S. Naval Reserve, later promoted to commander on October 19, 1949 (effective June 2, 1948).",U.S. House of Representatives (1937–1949),Active military duty (1941–1942),Lyndon Johnson,Personal Life
1950,42,"After the 1950 general elections, Lyndon Johnson was chosen as the Senate Majority Whip in 1951 under the new Majority Leader, Ernest McFarland of Arizona, and served from 1951 to 1953.",U.S. Senate (1949–1961),Freshman senator to majority whip,Lyndon Johnson,Personal Life
1953,45,"In January 1953, Lyndon Johnson was chosen by Lyndon Johnson's fellow Democrats to be Minority Leader; Lyndon Johnson became the most junior senator ever elected to Minority Leader.",U.S. Senate (1949–1961),Senate Democratic leader,Lyndon Johnson,Personal Life
1958,50,"Along with the rest of the U.S. government, Lyndon Johnson was appalled by the threat of possible Soviet domination of space flight implied by the launch of the first artificial Earth satellite Sputnik 1 and used Lyndon Johnson's influence to ensure passage of the 1958 National Aeronautics and Space Act, which established the civilian space agency NASA.Historians Caro and Dallek consider Lyndon Johnson the most effective Senate majority leader in history.",U.S. Senate (1949–1961),Senate Democratic leader,Lyndon Johnson,Personal Life
1956,48,"During Lyndon Johnson's tenure as Majority Leader, Lyndon Johnson did not sign the 1956 Southern Manifesto, and shepherded the Civil Rights Acts of 1957 and 1960 to passage—the first civil rights bills to pass Congress since the Enforcement Acts and the Civil Rights Act of 1875 during Reconstruction.Lyndon Johnson",U.S. Senate (1949–1961),Senate Democratic leader,Lyndon Johnson,Personal Life
