year,age,event,category1,category2,Name,Career/Personal Life
1948,79,The last of several hunger strikes was begun in Delhi on 12 January 1948 when Mahatma Gandhi was 78.,summary,,Mahatma Gandhi,Personal Life
1869,0,"Mahatma Gandhi was born on 2 October 1869 into a Gujarati Hindu Modh Bania family in Porbandar (also known as Sudamapuri), a coastal town on the Kathiawar Peninsula and then part of the small princely state of Porbandar in the Kathiawar Agency of the British Raj.",Early life and background,,Mahatma Gandhi,Career
1891,22,"Mahatma Gandhi, at age 22, was called to the bar in June 1891 and then left London for India, where Mahatma Gandhi learned that Mahatma Gandhi's mother had died while Mahatma Gandhi was in London and that Mahatma Gandhi's family had kept the news from Mahatma Gandhi.",Three years in London,Called to the bar,Mahatma Gandhi,Career
1900,31,"During the Boer War, Mahatma Gandhi volunteered in 1900 to form a group of stretcher-bearers as the Natal Indian Ambulance Corps.",Civil rights activist in South Africa (1893–1914),,Mahatma Gandhi,Career
1906,37,"At a mass protest meeting held in Johannesburg on 11 September 1906, Mahatma Gandhi adopted Mahatma Gandhi's still evolving methodology of Satyagraha (devotion to the truth), or nonviolent protest, for the first time.",Civil rights activist in South Africa (1893–1914),,Mahatma Gandhi,Career
1896,27,"During a speech in September 1896, Mahatma Gandhi complained that the whites in South Africa were ""degrading the Indian to the level of a raw Kaffir"".",Civil rights activist in South Africa (1893–1914),"Europeans, Indians and Africans",Mahatma Gandhi,Career
1910,41,"""In 1910, Mahatma Gandhi established, with the help of Mahatma Gandhi's friend Hermann Kallenbach, an idealistic community they named Tolstoy Farm near Johannesburg.",Civil rights activist in South Africa (1893–1914),"Europeans, Indians and Africans",Mahatma Gandhi,Career
1994,125,"In the years after black South Africans gained the right to vote in South Africa (1994), Mahatma Gandhi was proclaimed a national hero with numerous monuments.",Civil rights activist in South Africa (1893–1914),"Europeans, Indians and Africans",Mahatma Gandhi,Career
1918,49,"In a June 1918 leaflet entitled ""Appeal for Enlistment"", Mahatma Gandhi wrote ""To bring about such a state of things we should have the ability to defend we, that is, the ability to bear arms and to use arms...",Struggle for Indian independence (1915–1947),Role in World War I,Mahatma Gandhi,Personal Life
1922,53,"Mahatma Gandhi was arrested on 10 March 1922, tried for sedition, and sentenced to six years' imprisonment.",Struggle for Indian independence (1915–1947),Non-co-operation,Mahatma Gandhi,Personal Life
1922,53,Mahatma Gandhi began Mahatma Gandhi's sentence on 18 March 1922.,Struggle for Indian independence (1915–1947),Non-co-operation,Mahatma Gandhi,Personal Life
1924,55,"Mahatma Gandhi was released in February 1924 for an appendicitis operation, having served only two years.",Struggle for Indian independence (1915–1947),Non-co-operation,Mahatma Gandhi,Personal Life
1944,75,was released before the end of the war on 6 May 1944 because of Mahatma Gandhi's failing health and necessary surgery; the Raj did not want Mahatma Gandhi to die in prison and enrage India.,Struggle for Indian independence (1915–1947),World War II and Quit India movement,Mahatma Gandhi,Personal Life
1948,79,"At 5:17 pm on 30 January 1948, Mahatma Gandhi was with Mahatma Gandhi's grandnieces in the garden of Birla House (now Gandhi Smriti), on Mahatma Gandhi's way to address a prayer meeting, when Nathuram Godse, a Hindu nationalist, fired three bullets into Mahatma Gandhi's chest from a pistol at close range.",Death,,Mahatma Gandhi,Career
1942,73,Another urn is at the palace of the Aga Khan in Pune (where Mahatma Gandhi was held as a political prisoner from 1942 to 1944) and another in the Self-Realization Fellowship Lake Shrine in Los Angeles.,Death,Funeral and memorials,Mahatma Gandhi,Career
1999,130,"In 1999, Mahatma Gandhi was named ""Asian of the century"" by Asiaweek.",Legacy,,Mahatma Gandhi,Career
2000,131,"In a 2000 BBC poll, Mahatma Gandhi was voted as the greatest man of the millennium.",Legacy,,Mahatma Gandhi,Career
1914,45,"Mahatma Gandhi was publicly bestowed with the honorific title ""Mahatma"" in July 1914 at farewell meeting in Town Hall, Durban.",Legacy,,Mahatma Gandhi,Career
1937,68,"did not receive the Nobel Peace Prize, although Mahatma Gandhi was nominated five times between 1937 and 1948, including the first-ever nomination by the American Friends Service Committee, though Mahatma Gandhi made the short list only twice, in 1937 and 1947.",Legacy,Awards,Mahatma Gandhi,Career
1948,79,Mahatma Gandhi was nominated in 1948 but was assassinated before nominations closed.,Legacy,Awards,Mahatma Gandhi,Career
