year,age,event,category1,category2,Name,Career/Personal Life
2017,84,"As of 2017, the films in which Michael Caine has appeared have grossed over $7.8 billion worldwide.",summary,,Michael Caine,Career
1971,38,"Michael Caine solidified Michael Caine's stardom with roles in Get Carter (1971), The Last Valley (1971), The Man Who Would Be King (1975), The Eagle Has Landed (1976), and A Bridge Too Far (1977).Caine",summary,,Michael Caine,Career
2006,73,"Michael Caine has also had roles in five other Christopher Nolan's films: The Prestige (2006), Inception (2010), Interstellar (2014), Dunkirk (2017), and Tenet (2020).",summary,,Michael Caine,Career
2023,90,"Michael Caine announced Michael Caine's retirement from acting in October 2023, with Michael Caine's final film being The Great Escaper, which came out October 2023.",summary,,Michael Caine,Career
1933,0,"Michael Caine was born Maurice Joseph Micklewhite at St Olave's Hospital in the Rotherhithe district of London on 14 March 1933, the son of cook and charwoman Ellen Frances Marie (née Burchell; 1901–1989) and fish market porter also called Maurice Joseph Micklewhite (1899–1957).",Early life,,Michael Caine,Personal Life
1901,-32,Michael Caine was raised in cook and charwoman Ellen Frances Marie (née Burchell; 1901–1989)'s Protestant faith.,Early life,,Michael Caine,Personal Life
1944,11,"In 1944, Michael Caine passed Michael Caine's eleven-plus examination, winning a scholarship to Hackney Downs School.",Early life,,Michael Caine,Personal Life
1952,19,"In 1952, Michael Caine was called up to do Michael Caine's national service.",Army service,,Michael Caine,Personal Life
2010,77,"In Michael Caine's 2010 autobiography The Elephant to Hollywood, Michael Caine wrote that ""The rest of Michael Caine's life Michael Caine have lived every bloody moment from the moment Michael Caine wake up until the time Michael Caine go to sleep.[0",Army service,,Michael Caine,Career
1987,54,"Michael Caine joked on television in 1987 that, had a tree partly blocking Michael Caine's view been a few feet to the left, Michael Caine might have been called ""Michael Mutiny"".",Acting career,1950–1963: Acting debut and early roles,Michael Caine,Career
1963,30,"A big break came for Michael Caine when Michael Caine was cast as Meff in James Saunders' Cockney comedy Next Time I'll Sing To You, when James Saunders' Cockney comedy Next Time I'll Sing To You was presented at the New Arts Theatre in London on 23 January 1963.",Acting career,1950–1963: Acting debut and early roles,Michael Caine,Career
2010,77,"According to Michael Caine's 2010 autobiography The Elephant to Hollywood, Michael Caine had been signed to a seven-year contract by Joseph E. Levine, whose Embassy Films was distributing Zuluhis upcoming film Zulu, a film Baker was producing and starring in.",Acting career,1964–1975: Stardom and acclaim,Michael Caine,Career
1964,31,"Subsequently, Michael Caine's agent got Michael Caine cast in the BBC production Hamlet at Elsinore (1964) as Horatio, in support of Christopher Plummer's Hamlet.",Acting career,1964–1975: Stardom and acclaim,Michael Caine,Career
1966,33,"Michael Caine made Michael Caine's first film in Hollywood in 1966, after an invitation from Shirley MacLaine to play opposite Shirley MacLaine in Gambit.",Acting career,1964–1975: Stardom and acclaim,Michael Caine,Career
1968,35,"Michael Caine starred in the film The Magus (1968) which, although BAFTA-nominated for Best Cinematography, failed at the box office.[0",Acting career,1964–1975: Stardom and acclaim,Michael Caine,Career
1978,45,"Michael Caine averaged two films a year, but two films included such films as The Swarm (1978) (although critically panned The Swarm (1978) was Academy Award-nominated for Best Costume Design), Ashanti (1979) and Beyond the Poseidon Adventure (1979).In the early 1980s Michael Caine appeared in The Island (1980), The Hand (1981), and had a reunion with Michael Caine's Sleuth co-star Laurence Olivier in The Jigsaw Man (1982).",Acting career,1976–1997: Established star,Michael Caine,Career
2011,78,"Peter Bradshaw of The Guardian wrote in 2011, ""Michael Caine's performance, so fervent, so agonisingly dedicated, actually gains in force and touching sincerity with the years."" Michael Caine also played a suave English conman, opposite a clumsy American played by Steve Martin, in the crime comedy Dirty Rotten Scoundrels (1988), directed by Frank Oz.",Acting career,1976–1997: Established star,Michael Caine,Career
1984,51,"Despite Michael Caine's success in the 1980s, Michael Caine also appeared in some poorly received films such as Blame It on Rio (1984), the Dick Clement and Ian La Frenais comedy Water (1985), the fourth and final film in the Jaws franchise, Jaws: The Revenge (1987), and Without a Clue (1988) (portraying Sherlock Holmes).",Acting career,1976–1997: Established star,Michael Caine,Career
