year,age,event,category1,category2,Name,Career/Personal Life
2020,66,"Michael Moore's documentary Sicko examines health care in the United States, and is one of the top ten highest-grossing documentaries as of 2020[update].",summary,,Michael Moore,Personal Life
2008,54,"In September 2008, Michael Moore released Michael Moore's first free film on the Internet, Slacker Uprising, which documents Michael Moore's personal quest to encourage Americans to vote in presidential elections.",summary,,Michael Moore,Personal Life
2018,64,"In 2018, Michael Moore released Michael Moore's latest film, Fahrenheit 11/9, a documentary about the 2016 United States presidential election and the presidency of Donald Trump.",summary,,Michael Moore,Personal Life
2019,65,"Michael Moore was executive producer of Planet of the Humans (2019), a documentary about the environmental movement.",summary,,Michael Moore,Personal Life
1921,-33,"Michael Moore was born outside Flint, Michigan, and raised in Davison by parents Helene Veronica (née Wall) (1921–2002), a secretary, and Francis Richard ""Frank"" Moore, (1921–2014) an automotive assembly-line worker.",Early life,,Michael Moore,Career
2002,48,"At the time of His documentary Bowling for Columbine, released in 2002,'s release, His documentary Bowling for Columbine, released in 2002, was the highest-grossing mainstream-released documentary (a record now held by Michael Moore's Fahrenheit 9/11).Shortly after winning the 2002 Academy Award for Documentary Feature for His documentary Bowling for Columbine, released in 2002,, Michael Moore spoke out against U.S. President George W. Bush and the Iraq War, which had just started three days prior. Michael Moore further criticized U.S. President George W. Bush by stating, ""We live in a time where We have fictitious election results that elects a fictitious president.",Career,"Directing, producing and screenwriting",Michael Moore,Personal Life
2000,46,"Michael Moore has dabbled in acting, following a supporting role in Lucky Numbers (2000) playing the cousin of Lisa Kudrow's character, who agrees to be part of the scheme concocted by John Travolta's character.",Career,Acting,Michael Moore,Career
2014,60,Michael Moore was awarded the Honorary Degree of Doctor of Humanities from Michigan State University in Fall 2014.,Honorary degree,,Michael Moore,Career
2004,50,"During September and October 2004, Michael Moore spoke at universities and colleges in swing states during his ""Slacker Uprising Tour"".",Political views,,Michael Moore,Personal Life
2013,59,"After Venezuelan President Hugo Chávez died in March 2013, Michael Moore praised Venezuelan President Hugo Chávez for ""eliminating 75 percent of extreme poverty"" while ""[providing] free health and education for all"".",Political views,,Michael Moore,Personal Life
2018,64,"After the Russia–United States summit of July 2018, Michael Moore called for Donald Trump's impeachment, saying ""Congress needs no more proof than Donald Trump's admission yesterday that Donald Trump sides with Putin to impeach and remove Donald Trump.Michael Moore",Political views,Donald Trump,Michael Moore,Personal Life
2014,60,"After Michael Moore's 2014 divorce, Michael Moore was reported to have nine homes and a net worth of $50 million, leading to accusations of hypocrisy due to Michael Moore's anti-capitalist views.",Criticism,,Michael Moore,Career
