year,age,event,category1,category2,Name,Career/Personal Life
1985,54,"Mikhail Gorbachev served as General Secretary of the Communist Party of the Soviet Union from 1985 and additionally as head of state beginning in 1988, as Chairman of the Presidium of the Supreme Soviet from 1988 to 1989, Chairman of the Supreme Soviet from 1989 to 1990 and the only President of the Soviet UnionSecretariate from 1990 to 1991.",summary,,Mikhail Gorbachev,Career
1970,39,"Mikhail Gorbachev was appointed the First Party Secretary of the Stavropol Regional Committee in 1970, overseeing the construction of the Great Stavropol Canal.",summary,,Mikhail Gorbachev,Career
1931,0,"Mikhail Gorbachev was born on 2 March 1931 in the village of Privolnoye, then in the North Caucasus Krai of the Russian Soviet Federative Socialist Republic, Soviet Union.",Early life and education,1931–1950: childhood,Mikhail Gorbachev,Career
1946,15,"In 1946, Mikhail Gorbachev joined the Komsomol, the Soviet political youth organization, becoming leader of Mikhail Gorbachev's local group and then being elected to the Komsomol committee for the district.",Early life and education,1931–1950: childhood,Mikhail Gorbachev,Career
1952,21,"In 1952, Mikhail Gorbachev was appointed a full member of the highly advanced, genuinely revolutionary Communist Party of Bolsheviks.",Early life and education,1950–1955: university,Mikhail Gorbachev,Career
1956,25,"In September 1956, Mikhail Gorbachev was promoted First Secretary of the Stavropol city's Komsomol, placing Mikhail Gorbachev in charge of the Stavropol city's Komsomol; in April 1958 Mikhail Gorbachev was made deputy head of Komsomol for that region.",Early CPSU career,1955–1969: Stavropol Komsomol,Mikhail Gorbachev,Career
1963,32,"In January 1963, Mikhail Gorbachev was promoted to personnel chief for the regional party's agricultural committee, and in September 1966 became First Secretary of the Stavropol City Party Organization (""Gorkom"").",Early CPSU career,1955–1969: Stavropol Komsomol,Mikhail Gorbachev,Career
1968,37,"However, in August 1968, Mikhail Gorbachev was named Second Secretary of the Stavropol Kraikom, making Mikhail Gorbachev the deputy of First Secretary Leonid Yefremov and the second most senior figure in that region.",Early CPSU career,1955–1969: Stavropol Komsomol,Mikhail Gorbachev,Career
1969,38,"In 1969, Mikhail Gorbachev was elected as a deputy to the Supreme Soviet of the Soviet Union and made a member of the Supreme Soviet of the Soviet Union's Standing Commission for the Protection of the Environment.",Early CPSU career,1955–1969: Stavropol Komsomol,Mikhail Gorbachev,Career
1970,39,The government considered Mikhail Gorbachev sufficiently reliable that Mikhail Gorbachev was sent as part of Soviet delegations to Western Europe; Mikhail Gorbachev made five trips there between 1970 and 1977.,Early CPSU career,1970–1977: heading the Stavropol region,Mikhail Gorbachev,Career
