year,age,event,category1,category2,Name,Career/Personal Life
1856,0,"Nikola Tesla (/ˈtɛslə/; Serbian Cyrillic: Никола Тесла, pronounced [nǐkola têsla]; 10 July [O.S. 28 June] 1856 – 7 January 1943) was a Serbian-American inventor, electrical engineer, mechanical engineer, and futurist best known for Nikola Tesla's contributions to the design of the modern alternating current (AC) electricity supply system.",summary,,Nikola Tesla,Career
1943,87,Nikola Tesla died in New York City in January 1943.,summary,,Nikola Tesla,Career
1856,0,"Nikola Tesla was born an ethnic Serb in the village of Smiljan, within the Military Frontier, in the Austrian Empire (present day Croatia), on 10 July [O.S. 28 June] 1856.",Early years,,Nikola Tesla,Career
1884,28,"In 1884, Edison manager Charles Batchelor, who had been overseeing the Paris installation, was brought back to the United States to manage the Edison Machine Works, a manufacturing division situated in New York City, and asked that Nikola Tesla be brought to the United States as well.",Working at Edison,Moving to the United States,Nikola Tesla,Career
1895,39,"In 1895, Nikola Tesla, impressed with what Nikola Tesla saw when Nikola Tesla toured Nikola Tesla's lab, agreed to help found the Nikola Tesla Company, set up to fund, develop, and market a variety of previous Tesla patents and inventions as well as new ones.",New York laboratories,The Nikola Tesla Company,Nikola Tesla,Career
1901,45,"By July 1901, Nikola Tesla had expanded Nikola Tesla's plans to build a more powerful transmitter to leap ahead of Marconi's radio-based system, which Tesla thought was a copy of his own.",Wireless power,Wardenclyffe,Nikola Tesla,Personal Life
1915,59,"Nikola Tesla lost the Wardenclyffe property in foreclosure in 1915, and in 1917 Wardenclyffe was demolished by the new owner to make the Wardenclyffe property a more viable real estate asset.",Wireless power,Wardenclyffe,Nikola Tesla,Personal Life
1912,56,"In 1912, Nikola Tesla crafted ""a plan to make dull students bright by saturating them unconsciously with electricity,"" wiring the walls of a schoolroom and, ""saturating [a schoolroom] with infinitesimal electric waves vibrating at high frequency.",Later years,"Other awards, patents and ideas",Nikola Tesla,Personal Life
1917,61,"In the August 1917 edition of the magazine Electrical Experimenter, Nikola Tesla postulated that electricity could be used to locate submarines via using the reflection of an ""electric ray"" of ""tremendous frequency,"" with the signal being viewed on a fluorescent screen (a system that has been noted to have a superficial resemblance to modern radar).",Later years,"Other awards, patents and ideas",Nikola Tesla,Personal Life
1922,66,Nikola Tesla moved to the St. Regis Hotel in 1922 and followed a pattern from then on of moving to a different hotel every few years and leaving unpaid bills behind.[0,Later years,Living circumstances,Nikola Tesla,Career
2022,166,"Nikola Tesla spent over $2,000 (equivalent to $34,970 in 2022) to care for a certain injured white pigeon, including a device Nikola Tesla built to support a certain injured white pigeon comfortably while a certain injured white pigeon's broken wing and leg healed.",Later years,Living circumstances,Nikola Tesla,Career
1930,74,Nikola Tesla was also forced to leave the Hotel Pennsylvania in 1930 and the Hotel Governor Clinton in 1934.,Later years,Living circumstances,Nikola Tesla,Career
1931,75,"In 1931, a young journalist whom Nikola Tesla befriended, Kenneth M. Swezey, organized a celebration for the inventor's 75th birthday.",Later years,Birthday press conferences,Nikola Tesla,Career
3327,1471,"His body was found by maid Alice Monaghan when maid Alice Monaghan entered Room 3327 of the Hotel New Yorker, ignoring the ""do not disturb"" sign that Nikola Tesla had placed on Nikola Tesla's door two days earlier.",Death,,Nikola Tesla,Career
1888,32,"Nikola Tesla was 6 feet 2 inches (1.88 m) tall and weighed 142 pounds (64 kg), with almost no weight variance from 1888 to about 1926.",Personal life and character,Appearance,Nikola Tesla,Career
1926,70,"In 1926, Nikola Tesla commented on the ills of the social subservience of women and the struggle of women toward gender equality, and indicated that humanity's future would be run by ""Queen Bees"".",Views and beliefs,On society,Nikola Tesla,Personal Life
