year,age,event,category1,category2,Name,Career/Personal Life
1957,15,"Paul McCartney began Paul McCartney's career when Paul McCartney joined John Lennon's skiffle group, the Quarrymen, in 1957, which eventually evolved into the Beatles, for whom he played bass guitar and shared primary songwriting and lead vocal duties with John Lennon in 1960.",summary,,Paul McCartney,Career
1980,38,Paul McCartney resumed Paul McCartney's solo career in 1980 and has been touring as a solo artist since 1989.,summary,,Paul McCartney,Personal Life
1942,0,"Paul McCartney was born on 18 June 1942 at Walton Hospital in the Walton area of Liverpool, where his mother, Mary Patricia (née Mohin), had qualified to practise as a nurse.",Early life,,Paul McCartney,Career
1956,14,"On 31 October 1956, when Paul McCartney was 14, his mother, Mary Patricia (née Mohin), died of an embolism as a complication of surgery for breast cancer.",Early life,,Paul McCartney,Career
1980,38,"In 1980, Paul McCartney released Paul McCartney's second solo LP, the self-produced McCartney II, which peaked at number one in the UK and number three in US.",Career,1970–1981: Wings,Paul McCartney,Personal Life
1982,40,"In 1982, Paul McCartney collaborated with Stevie Wonder on the Martin-produced number-one hit ""Ebony and Ivory"", included on McCartney's Tug of War LP, and with Michael Jackson on ""The Girl Is Mine"" from Thriller.[nb 18]",Career,1982–1990,Paul McCartney,Personal Life
1991,49,Paul McCartney ventured into orchestral music in 1991 when the Royal Liverpool Philharmonic Society commissioned a musical piece by Paul McCartney to celebrate the Royal Liverpool Philharmonic Society's sesquicentennial.,Career,1991–1999,Paul McCartney,Personal Life
1993,51,Paul McCartney released the rock album Off the Ground in 1993.[nb 27],Career,1991–1999,Paul McCartney,Personal Life
2002,60,"Paul McCartney participated in the National Football League's Super Bowl, performing the song ""Freedom"", written in response to the attacks.[nb 32] during the pre-game show for Super Bowl XXXVI in 2002 and headlining the halftime show at Super Bowl XXXIX in 2005.",Career,2000–2009,Paul McCartney,Personal Life
2008,66,"In 2008, Paul McCartney released Paul McCartney's third Fireman album, Electric Arguments.[nb 40",Career,2000–2009,Paul McCartney,Personal Life
2010,68,"In 2010, Paul McCartney opened the Consol Energy Center in Pittsburgh, Pennsylvania; it was Paul McCartney's first concert in Pittsburgh, Pennsylvania since 1990 due to the old Civic Arena being deemed unsuitable for Paul McCartney's logistical needs.[nb 41]",Career,2010–present,Paul McCartney,Personal Life
2011,69,"Paul McCartney was commissioned by the New York City Ballet, and in September 2011, Paul McCartney released Paul McCartney's first score for dance, a collaboration with Peter Martins called Ocean's Kingdom on Decca Records, the same record company that famously rejected The Beatles back in January 1962.",Career,2010–present,Paul McCartney,Personal Life
2012,70,"Paul McCartney released Kisses on the Bottom, a collection of standards, in February 2012, the same month that the National Academy of Recording Arts and Sciences honoured Paul McCartney as the MusiCares Person of the Year, two days prior to Paul McCartney's performance at the 54th Annual Grammy Awards.[0",Career,2010–present,Paul McCartney,Personal Life
2012,70,"Paul McCartney closed the opening ceremony of the 2012 Summer Olympics in London on 27 July, singing ""The End"" and ""Hey Jude"" and inviting the audience to join in on the coda.",Career,2010–present,Paul McCartney,Personal Life
2014,72,"Paul McCartney resumed a US tour with a high-energy three-hour appearance in Albany, New York on 5 July 2014.",Career,2010–present,Paul McCartney,Personal Life
2017,75,"In January 2017, Paul McCartney filed a suit in United States district court against Sony/ATV Music Publishing seeking to reclaim ownership of Paul McCartney's share of the Lennon–McCartney song catalogue beginning in 2018.",Career,2010–present,Paul McCartney,Personal Life
2018,76,"On 20 June 2018, Paul McCartney released ""I Don't Know"" and ""Come On to Me"" from his album Egypt Station, which was released on 7 September through Capitol Records.",Career,2010–present,Paul McCartney,Personal Life
2022,80,"In 2022, Paul McCartney received the Primetime Emmy Award for Outstanding Documentary or Nonfiction Series at the 74th Primetime Creative Arts Emmy Awards, as a producer for the documentary The Beatles: Get Back.",Career,2010–present,Paul McCartney,Personal Life
2023,81,"In 2023, Paul McCartney published the book 1964: Eyes of the Storm, a collection of recently discovered photos Paul McCartney had taken at the height of Beatlemania.",Career,2010–present,Paul McCartney,Personal Life
1965,23,"Lennon, Playboy magazine published in January 1981During Paul McCartney's early years with Beatles, Paul McCartney primarily used a Höfner 500/1 bass, although from 1965, Paul McCartney favoured Paul McCartney's Rickenbacker 4001S for recording.",Musicianship,Bass guitar,Paul McCartney,Career
1967,25,"While typically using Vox amplifiers, by 1967, Paul McCartney had also begun using a Fender Bassman for amplification.",Musicianship,Bass guitar,Paul McCartney,Career
1964,22,"Paul McCartney bought an Epiphone Casino in 1964, on the knowledge that an Epiphone Casino's hollow body would produce more feedback.",Musicianship,Electric guitar,Paul McCartney,Career
1989,47,"Since the Rich List began in 1989, Paul McCartney has been the UK's's wealthiest musician, with an estimated fortune of £730 million in 2015.",Personal life,Business,Paul McCartney,Career
1966,24,"Initially reluctant to try LSD, Paul McCartney eventually did so in late 1966, and took Paul McCartney's second ""acid trip"" in March 1967 with Lennon after a Sgt. Pepper studio session.",Personal life,Drugs,Paul McCartney,Career
2009,67,"Paul McCartney has appeared in the animal-rights organisation People for the Ethical Treatment of Animals's campaigns, and in 2009, Paul McCartney narrated a video for the animal-rights organisation People for the Ethical Treatment of Animals titled ""Glass Walls"", which was harshly critical of slaughterhouses, the meat industry, and their effect on animal welfare. Paul McCartney has also supported campaigns headed by the Humane Society of the United States, Humane Society International, World Animal Protection, and the David Shepherd Wildlife Foundation.",Personal life,Vegetarianism and activism,Paul McCartney,Personal Life
2015,73,"In 2015, following British prime minister David Cameron's decision to give Members of Parliament a free vote on amending the law against fox hunting, Paul McCartney was quoted: ""The people of Britain are behind this Tory government on many things but the vast majority of us will be against this Tory government if hunting is reintroduced.",Personal life,Vegetarianism and activism,Paul McCartney,Career
2008,66,"In 2008, Paul McCartney ended speculation about Paul McCartney's allegiance when Paul McCartney said: ""Here's the deal: Paul McCartney's father was born in Everton F.C., Paul McCartney's family are officially Evertonians, so if it comes down to a derby match or an FA Cup final between the two, Paul McCartney would have to support Everton F.C..",Personal life,Football,Paul McCartney,Career
1983,41,"In 1983, Paul McCartney said: ""Paul McCartney would not have been as typically human and standoffish as Paul McCartney was if Paul McCartney knew Lennon post-Beatles was going to die. Paul McCartney would have made more of an effort to try and get behind Lennon post-Beatles's 'mask' and have a better relationship with Lennon post-Beatles."" Paul McCartney said that Paul McCartney went home that night, watched the news on television with Paul McCartney's children and cried most of the evening.",Personal life,Relationships,Paul McCartney,Career
1981,39,"In 1981, Paul McCartney sang backup on Harrison's's tribute to Lennon post-Beatles, ""All Those Years Ago"", which featured Starr on drums.",Personal life,Relationships,Paul McCartney,Career
1988,46,Paul McCartney was inducted into the Rock and Roll Hall of Fame in 1988 as a member of the Beatles and again as a solo artist in 1999.,Legacy,Achievements,Paul McCartney,Career
