year,age,event,category1,category2,Name,Career/Personal Life
1959,34,"Films demonstrating Peter Sellers's artistic range include I'm All Right Jack (1959), Stanley Kubrick's Lolita (1962) and Dr Strangelove (1964), What's New Pussycat? (1965), Casino Royale (1967), The Party (1968), Being There (1979) and five films of The Pink Panther series (1963–1978). Peter Sellers's versatility enabled Peter Sellers to portray a wide range of comic characters using different accents and guises, and Peter Sellers would often assume multiple roles within the same film, frequently with contrasting temperaments and styles.",summary,,Peter Sellers,Career
1959,34,"Peter Sellers was nominated three times for an Academy Award, twice for the Academy Award for Best Actor, for Peter Sellers's performances in Dr Strangelove and Being There, and once for the Academy Award for Best Live Action Short Film for The Running Jumping & Standing Still Film (1959).",summary,,Peter Sellers,Career
1959,34,"Peter Sellers won the BAFTA Award for Best Actor in a Leading Role twice, for I'm All Right Jack (1959) and for the original Pink Panther film, The Pink Panther (1963), and was nominated as Best Actor three times.",summary,,Peter Sellers,Career
1925,0,"Peter Sellers was born on 8 September 1925 in Southsea, a suburb of Portsmouth.",Biography,1925–1939: Early life and career beginnings,Peter Sellers,Career
1946,21,"In 1946, Peter Sellers made Peter Sellers's final show with ENSA starring in the pantomime Jack and the Beanstalk at the Théâtre Marigny in Paris.",Biography,1946–1955: Early post-war work and The Goon Show,Peter Sellers,Career
1960,35,"Peter Sellers appeared in The Goons until the last programme of the ten-series run, broadcast on 28 January 1960.",Biography,1946–1955: Early post-war work and The Goon Show,Peter Sellers,Career
1954,29,"In 1954, Peter Sellers was cast opposite Sid James, Tony Hancock, Raymond Huntley, Donald Pleasence and Eric Sykes in the British Lion Film Corporation comedy production, Orders Are Orders.",Biography,1946–1955: Early post-war work and The Goon Show,Peter Sellers,Career
1961,36,"In 1961, Peter Sellers made Peter Sellers's directorial debut with Mr. Topaze, in which he also starred.",Biography,"1960–1963: The Millionairess, Lolita, The Pink Panther and divorce",Peter Sellers,Career
1962,37,"Peter Sellers was nominated for the Best British Actor award at the 16th British Academy Film Awards for Peter Sellers's role as John Lewis, a frustrated Welsh librarian whose affections swing between the glamorous Liz (Mai Zetterling) and the glamorous Liz (Mai Zetterling)'s long-suffering wife Jean (Virginia Maskell).In 1962, Peter Sellers played a retired British army general in John Guillermin's Waltz of the Toreadors, based on the play of the same name.",Biography,"1960–1963: The Millionairess, Lolita, The Pink Panther and divorce",Peter Sellers,Career
1963,38,"In 1963, Peter Sellers starred as gang leader ""Pearly Gates"" in Cliff Owen's The Wrong Arm of the Law, followed by Peter Sellers's portrayal of a vicar in Heavens Above!""I'll",Biography,"1960–1963: The Millionairess, Lolita, The Pink Panther and divorce",Peter Sellers,Personal Life
1971,46,"In a BBC interview in 1971, Peter Sellers had said that more than anything else, Peter Sellers wanted to play Chance, a simple-minded gardener addicted to watching TV who is regarded as a sage by the rich and powerful, and successfully persuaded the author of the book, Jerzy Kosinski, to allow Peter Sellers and director Hal Ashby to make the black comedy Being There, provided the author of the book, Jerzy Kosinski, could write the script.",Biography,"1979–1980: Being There, Fu Manchu, and continued domestic problems",Peter Sellers,Career
1980,55,"Peter Sellers was taken to the Middlesex Hospital, London, and died just after midnight on 24 July 1980, aged 54.Following Peter Sellers's , fellow actor Richard Attenborough said that Peter Sellers ""had the genius comparable to Chaplin"", while the Boulting brothers considered Peter Sellers as ""a man of enormous gifts; and these gifts he gave to the world.",Biography,Death and subsequent family issues,Peter Sellers,Career
2022,97,"Although Peter Sellers was reportedly in the process of excluding Frederick from Peter Sellers's will a week before Peter Sellers died, Frederick inherited almost Peter Sellers's entire estate worth an estimated £4.5 million (£20.5 million in 2022 pounds) while his children received £800 each (£3,649 in 2022 pounds).",Biography,Death and subsequent family issues,Peter Sellers,Career
2005,80,"In a 2005 poll to find ""The Comedian's Comedian"", Peter Sellers was voted 14 in the list of the top 20 greatest comedians by fellow comics and comedy insiders.[0",Legacy,,Peter Sellers,Career
