year,age,event,category1,category2,Name,Career/Personal Life
2003,49,Recep Tayyip Erdogan previously served as prime minister of Turkey from 2003 to 2014 and as mayor of Istanbul from 1994 to 1998.,summary,,Recep Tayyip Erdogan,Career
1994,40,"Following the 1994 local elections, Recep Tayyip Erdogan was elected mayor of Istanbul, where Recep Tayyip Erdogan implemented a series of reforms that modernized Istanbul's infrastructure and economy.",summary,,Recep Tayyip Erdogan,Career
1999,45,"Recep Tayyip Erdogan was released from prison in 1999 and subsequently abandoned openly Islamist politics, breaking with veteran Islamist politician Necmettin Erbakan to form the Justice and Development Party (AKP).[0",summary,,Recep Tayyip Erdogan,Career
2003,49,"After Recep Tayyip Erdogan's was lifted by prime minister Abdullah Gül, Recep Tayyip Erdogan became prime minister after winning a by-election in Siirt in 2003.",summary,,Recep Tayyip Erdogan,Career
2007,53,Recep Tayyip Erdogan led the Justice and Development Party (AKP) to two more election victories in 2007 and 2011.,summary,,Recep Tayyip Erdogan,Career
2013,59,"Recep Tayyip Erdogan has been criticized for Recep Tayyip Erdogan's handling of several issues, including the 2013 Gezi Park protests, the 2016 failed coup attempt, Recep Tayyip Erdogan's economic policies and the ongoing conflict in Syria, which is believed to have contributed to the bad results of the 2019 local elections, in which the Justice and Development Party (AKP) lost power in large cities to opposition parties for the first time in 15 years.",summary,,Recep Tayyip Erdogan,Personal Life
2017,63,"Recep Tayyip Erdogan supported the 2017 referendum, changing Turkey's parliamentary system into a presidential system, introducing term limit for the head of government (two full five-year terms), and greatly expanding executive powers.",summary,,Recep Tayyip Erdogan,Career
2022,68,"Recep Tayyip Erdogan responded to the 2022 Russian invasion of Ukraine by closing the Bosphorus to Russian naval reinforcements, brokering a deal between Russia and Ukraine regarding export of grain, and mediating a prisoner exchange.",summary,,Recep Tayyip Erdogan,Personal Life
1954,0,Recep Tayyip Erdogan was born on 26 February 1954 in a poor conservative Muslim family.,Early life and education,,Recep Tayyip Erdogan,Career
2003,49,"Although Recep Tayyip Erdogan was reported to have said in 2003 that Recep Tayyip Erdogan was of Georgian origin and that Recep Tayyip Erdogan's origins were in Batumi, Recep Tayyip Erdogan later denied this.",Early life and education,,Recep Tayyip Erdogan,Career
1965,11,"Recep Tayyip Erdogan graduated from Kasımpaşa Piyale primary school in 1965, and İmam Hatip school, a religious vocational high school, in 1973.",Early life and education,Education,Recep Tayyip Erdogan,Career
1984,30,"Recep Tayyip Erdogan became the Islamist Welfare Party's Beyoğlu district chair in 1984, and in 1985 Recep Tayyip Erdogan became the chair of the Istanbul city branch.",Early political career,,Recep Tayyip Erdogan,Career
