year,age,event,category1,category2,Name,Career/Personal Life
1964,39,"Noted for Richard Burton's mellifluous baritone voice, Richard Burton established Richard Burton as a formidable Shakespearean actor in the 1950s, and gave a memorable performance as Hamlet in 1964.",summary,,Richard Burton,Personal Life
1960,35,Richard Burton received the Tony Award for Best Actor in a Musical for Richard Burton's portrayal of King Arthur in the Lerner and Loewe musical Camelot (1960).In the mid-1960s,summary,,Richard Burton,Personal Life
1925,0,"Richard Burton was born Richard Burton on 10 November 1925 in a house at 2 Dan-y-bont in Pontrhydyfen, Glamorgan, Wales.",Early life,Childhood,Richard Burton,Personal Life
1937,12,Richard Burton took a scholarship exam for admission into Port Talbot Secondary School in March 1937 and passed a scholarship exam for admission into Port Talbot Secondary School.,Early life,Childhood,Richard Burton,Personal Life
1964,39,"One day in 1964 when Richard Burton was playing in Hamlet on Broadway, he and I were interviewed jointly in a private corner of an Eighth Avenue bar and restaurant much frequented by theatre people.",Early life,Philip Burton years,Richard Burton,Personal Life
1944,19,"In late 1944, Richard Burton successfully completed Richard Burton's six-month scholarship at Exeter College, part of Oxford University, and went to the the RAF classification examinations held in Torquay to train as a pilot.",Career,1943–1947: Early career and service in the RAF,Richard Burton,Personal Life
1946,21,"Richard Burton was cast in an uncredited and unnamed role of a bombing officer by BBC Third Programme in a 1946 radio adaptation of In Parenthesis, an epic poem of the First World War by David Jones.",Career,1943–1947: Early career and service in the RAF,Richard Burton,Personal Life
1947,22,Richard Burton was discharged from the RAF on 16 December 1947.,Career,1943–1947: Early career and service in the RAF,Richard Burton,Personal Life
1949,24,"While touring with the cast and crew members of Wynyard Browne's Dark Summer, Richard Burton was called by Emlyn Williams for a screen test for his film, The Last Days of Dolwyn (1949).",Career,1948–1951: Rise through the ranks and film debut,Richard Burton,Personal Life
1949,24,"Richard Burton performed a screen test for his film, The Last Days of Dolwyn (1949), and was subsequently selected when Emlyn Williams sent Richard Burton a telegram that quoted a line from The Corn Is Green — ""You have won the scholarship.""",Career,1948–1951: Rise through the ranks and film debut,Richard Burton,Personal Life
1949,24,"It was on the sets of his film, The Last Days of Dolwyn (1949) that Richard Burton was introduced by Emlyn Williams to Sybil Williams, whom he married on 5 February 1949 at a register office in Kensington.",Career,1948–1951: Rise through the ranks and film debut,Richard Burton,Personal Life
1949,24,"Richard Burton was praised for Richard Burton's ""acting fire, manly bearing and good looks"" and film critic Philip French of The Guardian called his film, The Last Days of Dolwyn (1949) an ""impressive movie debut"".",Career,1948–1951: Rise through the ranks and film debut,Richard Burton,Personal Life
1951,26,"Richard Burton had a bigger part as Robert Hammond, a spy for a newspaper editor in Green Grow the Rushes (1951) alongside Honor Blackman.",Career,1948–1951: Rise through the ranks and film debut,Richard Burton,Personal Life
1952,27,"successfully made the transition to Hollywood on the recommendation of film director George Cukor when Richard Burton was given the lead role in the Gothic romance film, My Cousin Rachel (1952) opposite Olivia de Havilland.",Career,1952–1954: Hollywood and The Old Vic,Richard Burton,Personal Life
1953,28,"""Notwithstanding, Richard Burton began Richard Burton's thirty-nine-week tenure at The Old Vic by rehearsing for Hamlet in July 1953, with Philip providing expert coaching on how to make Hamlet match Richard Burton's dynamic acting style.",Career,1952–1954: Hollywood and The Old Vic,Richard Burton,Personal Life
1954,29,"Richard Burton reprised Richard Burton's role in a 1954 BBC Radio play on one of his final works, Under Milk Wood, where he voiced the First Voice in an all-Welsh cast.",Career,1952–1954: Hollywood and The Old Vic,Richard Burton,Personal Life
1954,29,"Richard Burton was also involved in narrating Lindsay Anderson's short documentary film about The Royal School for the Deaf in Margate, Thursday's Children (1954).",Career,1952–1954: Hollywood and The Old Vic,Richard Burton,Personal Life
1955,30,"The first was Prince of Players (1955), where Richard Burton was cast as the 19th-century Shakespearean actor Edwin Booth, who was John Wilkes Booth's brother.",Career,1955–1959: Setback in films and on-stage fame,Richard Burton,Personal Life
1949,24,"after the release of The first, Richard Burton met director Robert Rossen, who was well known at the time for his Academy Award-winning film, All the King's Men (1949)director Robert Rossen, who was well known at the time for his Academy Award-winning film, All the King's Men (1949)'s .",Career,1955–1959: Setback in films and on-stage fame,Richard Burton,Personal Life
1956,31,"Richard Burton was loaned by Fox to Alexander the Great (1956)'s production company United Artists, which paid Richard Burton a fee of $100,000 (equivalent to $1,076,377 in 2022).",Career,1955–1959: Setback in films and on-stage fame,Richard Burton,Career
1951,26,"Time magazine critic The New York Times began by pointing out the deficiencies in Richard Burton's previous rendition of Henry V in 1951 before stating ""Richard Burton's progress as an actor is such that already Richard Burton is able to make good all the lacks of a few short years ago ...",Career,1955–1959: Setback in films and on-stage fame,Richard Burton,Personal Life
1957,32,"'s stay at The Old Vic was cut short when Richard Burton was approached by the Italian neorealist director Roberto Rossellini for Fox's Sea Wife (1957), a drama set in World War II about a nun and three men marooned on an island after the ship they travel on is torpedoed by a U-boat.",Career,1955–1959: Setback in films and on-stage fame,Richard Burton,Personal Life
1959,34,Porter is also considered one of Richard Burton's best on-screen roles; Richard Burton was nominated in the Best Actor categories at the BAFTA and Golden Globe Awards but lost to Peter Sellers for I'm All Right Jack (1959) and Anthony Franciosa for Career (1959) respectively.,Career,1955–1959: Setback in films and on-stage fame,Richard Burton,Personal Life
2022,97,"Richard Burton was paid $250,000 for four months work in director Joseph L. Mankiewicz's magnum opus Cleopatra (equivalent to $2,389,674 in 2022).",Career,"1960–1969: Broadway, Hamlet and films with Elizabeth Taylor",Richard Burton,Career
1964,39,Gielgud agreed and soon production began in January 1964 after Richard Burton had completed Richard Burton's work in Becket and The Night of the Iguana (1964) directed by John Huston.,Career,"1960–1969: Broadway, Hamlet and films with Elizabeth Taylor",Richard Burton,Personal Life
1967,42,"Franco Zeffirelli's lively version of Shakespeare's The Taming of the Shrew (1967) was a challenge for Richard BurtonTaylor's , noting that Richard Burton was ""permitted to do extreme physical things that wouldn't have been allowed with any other actress"".",Career,"1960–1969: Broadway, Hamlet and films with Elizabeth Taylor",Richard Burton,Personal Life
1969,44,"Richard Burton's last film of the decade, Anne of the Thousand Days (1969) for which Richard Burton was paid $1.25 million, (equivalent to $9,975,045 in 2022) was commercially successful but garnered mixed opinions from reviewers.",Career,"1960–1969: Broadway, Hamlet and films with Elizabeth Taylor",Richard Burton,Career
1970,45,"In 1970, on Richard Burton's 45th birthday, Richard Burton was ceremonially honoured with a CBE at Buckingham Palace; Taylor and Cis were present during honoured.",Career,1970–1984: Later career and final years,Richard Burton,Personal Life
