year,age,event,category1,category2,Name,Career/Personal Life
1979,66,"Rosa Parks received national recognition, including NAACP's 1979 Spingarn Medal, the Presidential Medal of Freedom, the Congressional Gold Medal, and a posthumous statue in the United States Capitol's's National Statuary Hall.",summary,,Rosa Parks,Personal Life
1913,0,"Rosa Parks was born Rosa Louise McCauley in Tuskegee, Alabama, on February 4, 1913, to Leona (née Edwards), a teacher, and James McCauley, a carpenter.",Early life,,Rosa Parks,Personal Life
1945,32,"In 1945, despite the Jim Crow laws and discrimination by registrars, Rosa Parks succeeded in registering to vote on Rosa Parks's third try.: ",Early life,Early activism,Rosa Parks,Personal Life
1943,30,"Initially, Rosa Parks did not notice that the bus driver was the same man, James F. Blake, who had left Rosa Parks in the rain in 1943.",Parks arrest and bus boycott,Refusal to move,Rosa Parks,Career
1955,42,"Years later, in recalling the events of Thursday, December 1, 1955, Rosa Parks said, ""When the bus driver stepped back toward four Black people, when the bus driver waved the bus driver's hand and ordered four Black people up and out of their seats in the middle section, Rosa Parks felt a determination cover Rosa Parks's body like a quilt on a winter night.""By Rosa Parks's account, the bus driver said, ""Y'all better make it light on Y'all and let the bus driver have their seats in the middle section.""",Parks arrest and bus boycott,Refusal to move,Rosa Parks,Career
1987,74,"When recalling the incident for Eyes on the Prize, a 1987 public television series on the Civil Rights Movement, Rosa Parks said, ""When the bus driver saw Rosa Parks still sitting, the bus driver asked if Rosa Parks was going to stand up, and Rosa Parks said, 'No, Rosa Parks'm not.'",Parks arrest and bus boycott,Refusal to move,Rosa Parks,Career
1992,79,"In 1992, Rosa Parks published Rosa Parks: My Story, an autobiography aimed at younger readers, which recounts Rosa Parks's life leading to Rosa Parks's decision to keep Rosa Parks's seat on the bus.",Detroit years,1990s,Rosa Parks,Personal Life
1995,82,"A few years later, Rosa Parks published Quiet Strength (1995), Rosa Parks's memoir, which focuses on Rosa Parks's faith.",Detroit years,1990s,Rosa Parks,Personal Life
1994,81,"At age 81, Rosa Parks was robbed and assaulted in her home in central Detroit on August 30, 1994.",Detroit years,1990s,Rosa Parks,Personal Life
2013,100,"In 2013, Rosa Parks was portrayed by Llewella Gideon in the first series of the Sky Arts comedy series Psychobitches.",In popular culture,Film and television,Rosa Parks,Personal Life
