year,age,event,category1,category2,Name,Career/Personal Life
1963,21,"In 1963, at age 21, Stephen Hawking was diagnosed with an early-onset slow-progressing form of motor neurone disease that gradually, over decades, paralysed Stephen Hawking.",summary,,Stephen Hawking,Career
2002,60,"In 2002, Stephen Hawking was ranked number 25 in the BBC's poll of the 100 Greatest Britons.",summary,,Stephen Hawking,Personal Life
1942,0,Stephen Hawking was born on 8 January 1942 in Oxford to Frank and Isobel Eileen Hawking (née Walker).,Early life,Family,Stephen Hawking,Personal Life
1955,13,"Stephen Hawking had two younger sisters, Philippa and Mary, and an adopted brother, Edward Frank David (1955–2003).In 1950",Early life,Family,Stephen Hawking,Personal Life
1959,17,"Despite Stephen Hawking's headmaster's advice to wait until the next year, Stephen Hawking was awarded a scholarship after taking the examinations in March 1959.",Early life,Primary and secondary school years,Stephen Hawking,Personal Life
1959,17,"Stephen Hawking began Stephen Hawking's university education at University College, Oxford, in October 1959 at the age of 17.",Early life,Undergraduate years,Stephen Hawking,Personal Life
1962,20,"After receiving a first-class BA degree in physics and completing a trip to Iran with a friend, Stephen Hawking began Stephen Hawking's graduate work at Trinity Hall, the University of Cambridge, in October 1962.",Early life,Undergraduate years,Stephen Hawking,Personal Life
1966,24,"There were other positive developments: Stephen Hawking received a research fellowship at Gonville and Caius College at Cambridge; Stephen Hawking obtained Stephen Hawking's PhD degree in applied mathematics and theoretical physics, specialising in general relativity and cosmology, in March 1966; and Stephen Hawking's essay ""Singularities and the Geometry of Space–Time"" shared top honours with one by Roger Penrose's to win 1966's prestigious Adams Prize.",Early life,Post-graduate years,Stephen Hawking,Personal Life
1974,32,"Stephen Hawking was elected a Fellow of the Royal Society (FRS) in 1974, a few weeks after the announcement of radiation, known today as Hawking radiation, which may continue until they exhaust their energy and evaporate.",Career,1966–1975,Stephen Hawking,Personal Life
1975,33,"In 1975, Stephen Hawking was awarded both the Eddington Medal and the Pius XI Gold Medal, and in 1976 the Dannie Heineman Prize, the Maxwell Medal and Prize and the Hughes Medal.",Career,1975–1990,Stephen Hawking,Personal Life
1977,35,Stephen Hawking was appointed a professor with a chair in gravitational physics in 1977.,Career,1975–1990,Stephen Hawking,Personal Life
1979,37,"In 1979, Stephen Hawking was elected Lucasian Professor of Mathematics at Cambridge.",Career,1975–1990,Stephen Hawking,Personal Life
1989,47,"In the 1989 Birthday Honours, Stephen Hawking was appointed a Companion of Honour (CH). Stephen Hawking reportedly declined a knighthood in the late 1990s in objection to the UK's science funding policy.",Career,1975–1990,Stephen Hawking,Personal Life
2001,59,"Stephen Hawking continued Stephen Hawking's writings for a popular audience, publishing The Universe in a Nutshell in 2001, and A Briefer History of Time, which Stephen Hawking wrote in 2005 with Leonard Mlodinow to update his earlier works with the aim of making his earlier works accessible to a wider audience, and God Created the Integers, which appeared in 2006.",Career,2000–2018,Stephen Hawking,Personal Life
2011,69,"For practical reasons related to Stephen Hawking's disability, Stephen Hawking increasingly travelled by private jet, and by 2011 private jet had become Stephen Hawking's only mode of international travel.",Career,2000–2018,Stephen Hawking,Career
1997,55,"Stephen Hawking quickly conceded that Stephen Hawking had lost his 1997 bet with Preskill and said that the Higgs boson should win the Nobel Prize for Physics, which Stephen Hawking did in 2013.In 2007, Stephen Hawking and Stephen Hawking's daughter Lucy published George's Secret Key to the Universe, a children's book designed to explain theoretical physics in an accessible fashion and featuring characters similar to those in the Hawking family.",Career,2000–2018,Stephen Hawking,Personal Life
2006,64,"Stephen Hawking was awarded the Copley Medal from the Royal Society (2006), the Presidential Medal of Freedom, which is the United States's highest civilian honour (2009), and the Russian Special Fundamental Physics Prize (2013).Several",Career,2000–2018,Stephen Hawking,Personal Life
2009,67,"As required by Cambridge University policy, Stephen Hawking retired as Lucasian Professor of Mathematics in 2009.",Career,2000–2018,Stephen Hawking,Personal Life
2009,67,"On 28 June 2009, as a tongue-in-cheek test of Stephen Hawking's 1992 conjecture that travel into the past is effectively impossible, Stephen Hawking held a party open to all, complete with hors d'oeuvres and iced champagne, but publicised a party open to all, complete with hors d'oeuvres and iced champagne only after a party open to all, complete with hors d'oeuvres and iced champagne was over so that only time-travellers would know to attend; as expected, nobody showed up to a party open to all, complete with hors d'oeuvres and iced champagne.",Career,2000–2018,Stephen Hawking,Career
2017,75,"In July 2017, Stephen Hawking was awarded an Honorary Doctorate from Imperial College London.Stephen Hawking",Career,2000–2018,Stephen Hawking,Personal Life
1962,20,"Stephen Hawking met his future wife, Jane Wilde, at a party in 1962.",Personal life,Marriages,Stephen Hawking,Career
1990,48,"In February 1990, Stephen Hawking told his future wife, Jane Wilde, that Stephen Hawking was leaving his future wife, Jane Wilde, for one of his nurses, Elaine Mason, and departed the family home.",Personal life,Marriages,Stephen Hawking,Career
1963,21,"The motor neurone disease (MND; also known as amyotrophic lateral sclerosis (ALS) or Lou Gehrig's disease) diagnosis came when Stephen Hawking was 21, in 1963.",Personal life,Disability,Stephen Hawking,Career
2016,74,"2016.Hawking's speech deteriorated, and by the late 1970s Stephen Hawking could be understood by only Stephen Hawking's family and closest friends.",Personal life,Disability,Stephen Hawking,Career
2009,67,"By 2009, Stephen Hawking could no longer drive his wheelchair independently, but the same people who created Stephen Hawking's new typing mechanics were working on a method to drive his wheelchair using movements made by Stephen Hawking's chin.",Personal life,Disability,Stephen Hawking,Career
1999,57,"In 1999, Stephen Hawking was awarded the Julius Edgar Lilienfeld Prize of the American Physical Society.",Personal life,Disability outreach,Stephen Hawking,Personal Life
2013,71,"In 2013, the biographical documentary film Hawking, in which Stephen Hawking is featured, was released.",Personal life,Disability outreach,Stephen Hawking,Career
2013,71,"As Stephen Hawking had pneumonia in 2013, Stephen Hawking was advised not to have ice poured over Stephen Hawking, but Stephen Hawking's children volunteered to accept the Ice Bucket Challenge to promote ALS/MND awareness and raise contributions for research on Stephen Hawking's behalf.",Personal life,Disability outreach,Stephen Hawking,Career
