year,age,event,category1,category2,Name,Career/Personal Life
2003,48,"In 2003, Steve Jobs was diagnosed with a pancreatic neuroendocrine tumor.",summary,,Steve Jobs,Personal Life
2022,67,"In 2022, Steve Jobs was posthumously awarded the Presidential Medal of Freedom.",summary,,Steve Jobs,Career
1955,0,"Steve Jobs was born in San Francisco, California, on February 24, 1955, to Joanne Carole Schieble and Abdulfattah ""John"" Jandali (Arabic: عبد الفتاح الجندلي).",Early life,Family,Steve Jobs,Career
1968,13,"When Steve Jobs was 13, in 1968, Steve Jobs was given a summer job by Bill Hewlett (of Hewlett-Packard) after Steve Jobs cold-called Bill Hewlett (of Hewlett-Packard) to ask for parts for an electronics project.[page needed]",Early life,Childhood,Steve Jobs,Career
1968,13,"Steve Jobs began Steve Jobs's first year there in late 1968 along with Bill Fernandez,[page needed] who introduced Steve Jobs to Steve Wozniak, and would become Apple's first employee.",Early life,Homestead High,Steve Jobs,Career
1971,16,"By Steve Jobs's senior year in late 1971, Steve Jobs was taking a freshman English class at nearby Stanford University's and working on a Homestead underground film project with the artistic Homestead junior Chrisann Brennan.",Early life,Homestead High,Steve Jobs,Career
2005,50,"In a 2005 commencement speech at Stanford University, Steve Jobs stated that during this period, Steve Jobs slept on the floor in friends' dorm rooms, returned Coke bottles for food money, and got weekly free meals at the local Hare Krishna temple.",Early life,Reed College,Steve Jobs,Career
2005,50,"In a 2005 commencement speech at Stanford University, Steve Jobs said: ""If Steve Jobs had never dropped in on that single calligraphy course in college, the Mac would have never had multiple typefaces or proportionally spaced fonts"".",Early life,Reed College,Steve Jobs,Career
1997,42,Steve Jobs became de facto chief after then-CEO Gil Amelio was ousted in July 1997.,1997–2011,Return to Apple,Steve Jobs,Career
2000,45,"At the 2000 Macworld Expo, Steve Jobs officially dropped the ""interim"" modifier from Steve Jobs's title at Jobs's former company Apple and became permanent CEO.",1997–2011,Return to Apple,Steve Jobs,Career
1999,44,"was a board member at Gap Inc. from 1999 to 2002.In 2001, Steve Jobs was granted stock options in the amount of 7.5 million shares of Apple with an exercise price of $18.30.",1997–2011,Return to Apple,Steve Jobs,Career
2006,51,"The case was the subject of active criminal and civil government investigations, though an independent internal Jobs's former company Apple investigation completed on December 29, 2006, found that Steve Jobs was unaware of these issues and that stock options in the amount of 7.5 million shares of Apple with an exercise price of $18.30 were returned without being exercised in 2003.In 2005, Steve Jobs responded to criticism of Jobs's former company Apple's poor recycling programs for e-waste in the US by lashing out at environmental and other advocates at Jobs's former company Apple's annual meeting in Cupertino in April.",1997–2011,Return to Apple,Steve Jobs,Career
2011,56,"In a 2011 interview with his biographer Walter Isaacson, Steve Jobs revealed that Steve Jobs had met with US President Barack Obama, complained about the US's shortage of software engineers, and told US President Barack Obama that Steve Jobs was ""headed for a one-term presidency"". Steve Jobs proposed that any foreign student who got an engineering degree at a US university should automatically be offered a green card.",1997–2011,Return to Apple,Steve Jobs,Career
2003,48,"In October 2003, Steve Jobs was diagnosed with cancer.",Health problems,,Steve Jobs,Personal Life
2004,49,"Steve Jobs was also influenced by a doctor who ran a clinic that advised juice fasts, bowel cleansings and other unproven approaches, before finally having surgery in July 2004.""",Health problems,,Steve Jobs,Personal Life
2009,54,"In a statement given on January 5, 2009, on Apple.com, Steve Jobs said that Steve Jobs had been suffering from a ""hormone imbalance"" for several months.",Health problems,,Steve Jobs,Personal Life
2011,56,"On January 17, 2011, a year and a half after Steve Jobs returned to work following the liver transplant, Apple announced that Steve Jobs had been granted a medical leave of absence.",Health problems,Resignation,Steve Jobs,Personal Life
1998,43,Steve Jobs was introduced in 1998 and Steve Jobs's innovative design was directly the result of Steve Jobs's return to Apple.,Innovations and designs,iMac,Steve Jobs,Career
2001,46,"Steve Jobs was released October 23, 2001.",Innovations and designs,iPod,Steve Jobs,Career
2010,55,"Steve Jobs was released on April 3, 2010.",Innovations and designs,iPad,Steve Jobs,Career
1986,31,"However, in 1986, when Steve Jobs was 31, his birth mother, Joanne Schieble Simpson was diagnosed with lung cancer.",Personal life,Family,Steve Jobs,Personal Life
