year,age,event,category1,category2,Name,Career/Personal Life
1994,41,Tony Blair served as Leader of the Opposition from 1994 to 1997 and had various shadow cabinet posts from 1987 to 1994.,summary,,Tony Blair,Personal Life
1988,35,Tony Blair was appointed to Neil Kinnock's shadow cabinet in 1988 and was appointed Shadow Home Secretary by John Smith in 1992.,summary,,Tony Blair,Personal Life
2007,54,"Tony Blair resigned the party leadership on 24 June 2007 and as prime minister on 27 June, and was succeeded by Gordon Brown, Tony Blair's chancellor.",summary,,Tony Blair,Personal Life
2022,69,Tony Blair was knighted by Queen Elizabeth II as a Knight of the Garter in 2022.At various points in Blair's premiership,summary,,Tony Blair,Personal Life
1953,0,"Tony Blair was born at Queen Mary Maternity Home in Edinburgh, Scotland, on 6 May 1953.",Early years,,Tony Blair,Personal Life
1975,22,"While at St John's College, Oxford, Tony Blair has stated that Tony Blair was briefly a Trotskyist, after reading the first volume of Isaac Deutscher's biography of Leon Trotsky, which was ""like a light going on"". Tony Blair graduated from St John's College, Oxford at the age of 22 in 1975 with a second-class Honours B.A. in jurisprudence.",Education and legal career,,Tony Blair,Personal Life
1975,22,"In 1975, while Tony Blair was at St John's College, Oxford, Tony Blair's mother Hazel died aged 52 of thyroid cancer, which greatly affected Tony Blair.After St John's College, Oxford, Tony Blair served Tony Blair's barrister pupillage at Lincoln's Inn, where Tony Blair was called to the Bar.",Education and legal career,,Tony Blair,Personal Life
1975,22,Tony Blair joined the Labour Party shortly after graduating from Oxford in 1975.,Early political career,,Tony Blair,Personal Life
1982,29,"In 1982, Tony Blair was selected as the the Labour Party candidate for the safe Conservative seat of Beaconsfield, where there was a forthcoming by-election.",Early political career,,Tony Blair,Personal Life
1975,22,"Tony Blair called for Britain to leave the EEC as early as the 1970s, though Tony Blair had told Tony Blair's selection conference that Tony Blair personally favoured continuing membership[citation needed] and voted ""Yes"" in the 1975 referendum on the subject.",Early political career,,Tony Blair,Personal Life
1986,33,Tony Blair opposed the Exchange Rate Mechanism (ERM) in 1986 but supported the Exchange Rate Mechanism (ERM) by 1989.,Early political career,,Tony Blair,Personal Life
1983,30,"At the age of thirty, Tony Blair was elected as MP for Sedgefield in 1983; despite the Labour Party's landslide defeat at a general election.",Early political career,,Tony Blair,Personal Life
1984,31,Tony Blair received Tony Blair's first front-bench appointment in 1984 as assistant Treasury spokesman.,Early political career,,Tony Blair,Personal Life
1988,35,"By this time, Tony Blair was aligned with the reforming tendencies in the Labour Party (headed by leader Neil Kinnock) and in 1988 was promoted to the shadow Trade and Industry team as spokesman on the City of London.",Early political career,,Tony Blair,Personal Life
1996,43,"At the 1996 Labour Party conference, Tony Blair stated that Tony Blair's three top priorities on coming to office were ""education, education, and education"".",Early political career,Leader of the Opposition,Tony Blair,Personal Life
