,0,1,2,3
0,1911," .mw-parser-output .sidebar{width:22em;float:right;clear:right;margin:0.5em 0 1em 1em;background:#f8f9fa;border:1px solid #aaa;padding:0.2em;text-align:center;line-height:1.4em;font-size:88%;border-collapse:collapse;display:table}body.skin-minerva .mw-parser-output .sidebar{display:table!important;float:right!important;margin:0.5em 0 1em 1em!important}.mw-parser-output .sidebar-subgroup{width:100%;margin:0;border-spacing:0}.mw-parser-output .sidebar-left{float:left;clear:left;margin:0.5em 1em 1em 0}.mw-parser-output .sidebar-none{float:none;clear:both;margin:0.5em 1em 1em 0}.mw-parser-output .sidebar-outer-title{padding:0 0.4em 0.2em;font-size:125%;line-height:1.2em;font-weight:bold}.mw-parser-output .sidebar-top-image{padding:0.4em}.mw-parser-output .sidebar-top-caption,.mw-parser-output .sidebar-pretitle-with-top-image,.mw-parser-output .sidebar-caption{padding:0.2em 0.4em 0;line-height:1.2em}.mw-parser-output .sidebar-pretitle{padding:0.4em 0.4em 0;line-height:1.2em}.mw-parser-output .sidebar-title,.mw-parser-output .sidebar-title-with-pretitle{padding:0.2em 0.8em;font-size:145%;line-height:1.2em}.mw-parser-output .sidebar-title-with-pretitle{padding:0.1em 0.4em}.mw-parser-output .sidebar-image{padding:0.2em 0.4em 0.4em}.mw-parser-output .sidebar-heading{padding:0.1em 0.4em}.mw-parser-output .sidebar-content{padding:0 0.5em 0.4em}.mw-parser-output .sidebar-content-with-subgroup{padding:0.1em 0.4em 0.2em}.mw-parser-output .sidebar-above,.mw-parser-output .sidebar-below{padding:0.3em 0.8em;font-weight:bold}.mw-parser-output .sidebar-collapse .sidebar-above,.mw-parser-output .sidebar-collapse .sidebar-below{border-top:1px solid #aaa;border-bottom:1px solid #aaa}.mw-parser-output .sidebar-navbar{text-align:right;font-size:115%;padding:0 0.4em 0.4em}.mw-parser-output .sidebar-list-title{padding:0 0.4em;text-align:left;font-weight:bold;line-height:1.6em;font-size:105%}.mw-parser-output .sidebar-list-title-c{padding:0 0.4em;text-align:center;margin:0 3.3em}@media(max-width:720px){body.mediawiki .mw-parser-output .sidebar{width:100%!important;clear:both;float:none!important;margin-left:0!important;margin-right:0!important}}.mw-parser-output .sidebar-person{border:4px double #d69d36}.mw-parser-output .sidebar-person .sidebar-title{font-size:110%;padding:0;line-height:150%}.mw-parser-output .sidebar-person-title-image{background-color:#002466;vertical-align:middle;padding:5px}.mw-parser-output .sidebar-person-title{background-color:#002466;vertical-align:middle;padding:6px;width:100%}.mw-parser-output .sidebar-person-title>div{font-size:88%;line-height:normal}.mw-parser-output .sidebar-person .sidebar-content{padding:0.3em}.mw-parser-output .sidebar-person .sidebar-navbar{text-align:center}  This article is part of a series aboutWinston Churchill  Liberal Party Conservative Party Electoral history MP for Dundee MP for Epping MP for Woodford  Liberal Government Tonypandy riots Siege of Sidney Street National Insurance Act 1911 Gallipoli campaign Russian Civil War Irish War of Independence Anglo-Irish Treaty Chanak Crisis  Chancellor of the Exchequer 1926 General Strike British Gazette  Prime Minister of the United Kingdom  First Term Cabinet British invasion of Iceland Home Guard Dunkirk We shall fight on the beaches Atlantic Charter Allied invasion of Italy Tehran Conference Operation Overlord D-Day Yalta Conference VE Day Caretaker Government Potsdam Conference 1945 general election  Second Term Cabinet Mau Mau rebellion Malayan Emergency  Books The World Crisis The Second World War A History of the English-Speaking Peoples     vte Sir Winston Leonard Spencer Churchill[a] (30 November 1874 – 24 January 1965) was a British statesman, soldier, and writer who served as Prime Minister of the United Kingdom twice, from 1940 to 1945 during the Second World War, and again from 1951 to 1955.",summary,
1,1922,"Apart from two years between 1922 and 1924, he was a Member of Parliament (MP) from 1900 to 1964 and represented a total of five constituencies.",summary,
2,1940,"Ideologically an adherent to economic liberalism and imperialism, he was for most of his career a member of the Conservative Party, which he led from 1940 to 1955.",summary,
3,1904,He was a member of the Liberal Party from 1904 to 1924.,summary,
4,1895,"He joined the British Army in 1895 and saw action in British India, the Mahdist War (also known as the Anglo-Sudan War), and the Second Boer War, later gaining fame as a war correspondent and writing books about his campaigns.",summary,
5,1900,"Elected a Conservative MP in 1900, he defected to the Liberals in 1904.",summary,
6,1915,He resigned in November 1915 and joined the Royal Scots Fusiliers on the Western Front for six months.,summary,
7,1917,"In 1917, he returned to government under David Lloyd George and served successively as Minister of Munitions, Secretary of State for War, Secretary of State for Air, and Secretary of State for the Colonies, overseeing the Anglo-Irish Treaty and British foreign policy in the Middle East.",summary,
8,1925,"After two years out of Parliament, he served as Chancellor of the Exchequer in Stanley Baldwin's Conservative government, returning the pound sterling in 1925 to the gold standard at its pre-war parity, a move widely seen as creating deflationary pressure and depressing the UK economy.",summary,
9,1940,"In May 1940, he became prime minister, succeeding Neville Chamberlain.",summary,
10,1945,"Churchill formed a national government and oversaw British involvement in the Allied war effort against the Axis powers, resulting in victory in 1945.",summary,
11,1945,"After the Conservatives' defeat in the 1945 general election, he became Leader of the Opposition.",summary,
12,1953,He was awarded the Nobel Prize for Literature in 1953.,summary,
13,1950,He lost the 1950 election but was returned to office in 1951.,summary,
14,1955,"In declining health, Churchill resigned as prime minister in 1955, remaining an MP until 1964.",summary,
15,1965,"Upon his death in 1965, he was given a state funeral.",summary,
