year,age,event,category1,category2,New_Column,Name
1937,2,"14th Dalai Lama was selected as the tulku of the 13th Dalai Lama in 1937, and formally recognised as 14th Dalai Lama in a public declaration near the town of Bumchen in 1939.",summary,,14th Dalai Lama.csv,14th Dalai Lama
1935,0,"14th Dalai Lama was born on 6 July 1935 to a farming and horse trading family in the small hamlet of Taktser, or Chija Tagtser, at the edge of the traditional Tibetan region of Amdo in Qinghai Province.[0",Early life and background,,14th Dalai Lama.csv,14th Dalai Lama
1940,5,14th Dalai Lama's formal rule as head of the government in Tibet was brief although 14th Dalai Lama was enthroned as spiritual leader on 22 February 1940.,Life as the Dalai Lama,Cooperation and conflicts with the People's Republic of China,14th Dalai Lama.csv,14th Dalai Lama
1954,19,"On 27 September 1954, 14th Dalai Lama was selected as a Vice-chairman of the Standing Committee of the National People's Congress, a post 14th Dalai Lama officially held until 1964.Mao",Life as the Dalai Lama,Cooperation and conflicts with the People's Republic of China,14th Dalai Lama.csv,14th Dalai Lama
1999,64,"In 14th Dalai Lama's essay ""The Ethic of Compassion"" (1999), 14th Dalai Lama expresses 14th Dalai Lama's belief that if we only reserve compassion for those that we love, we are ignoring the responsibility of sharing these characteristics of respect and empathy with those we do not have relationships with, which cannot allow us to ""cultivate love.""",Life as the Dalai Lama,"Teaching activities, public talks",14th Dalai Lama.csv,14th Dalai Lama
1984,49,"As examples of other teachings, in London in 1984 14th Dalai Lama was invited to give teachings on the Twelve Links of Dependent Arising, and on Dzogchen, a Nyingma practice, which 14th Dalai Lama gave at Camden Town Hall; in 1988 14th Dalai Lama was in London once more to give a series of lectures on Tibetan Buddhism in general, called 'A Survey of the Paths of Buddhism'.",Life as the Dalai Lama,"Teaching activities, public talks",14th Dalai Lama.csv,14th Dalai Lama
2007,72,"14th Dalai Lama has met the Archbishop of Canterbury, Dr. Robert Runcie, and other leaders of the Anglican Church in London, Gordon B. Hinckley, who at the time was the president of the Church of Jesus Christ of Latter-day Saints, as well as senior Eastern Orthodox Church, Muslim, Hindu, Jewish, and Sikh officials.14th Dalai Lama is also a member of the Board of World Religious Leaders as part of The Elijah Interfaith Institute and participated in the Third Meeting of the Board of World Religious Leaders as part of The Elijah Interfaith Institute in Amritsar, India, on 26 November 2007 to discuss the topic of Love and Forgiveness.",Life as the Dalai Lama,Interfaith dialogue,14th Dalai Lama.csv,14th Dalai Lama
2010,75,"In 2010, 14th Dalai Lama, joined by a panel of scholars, launched the Common Ground Project, in Bloomington, Indiana (USA), which was planned by 14th Dalai Lama and Prince Ghazi bin Muhammad of Jordan during several years of personal conversations.",Life as the Dalai Lama,Interfaith dialogue,14th Dalai Lama.csv,14th Dalai Lama
2019,84,"When asked in 2019 about attacks on the minority community in India's including a recent one against a Muslim family in Gurgaon, 14th Dalai Lama said: ""There are always a few mischievous people, but are does not mean a few mischievous people a symbol of India's"".",Social stances,"Democracy, nonviolence, religious harmony, and Tibet's relationship with India",14th Dalai Lama.csv,14th Dalai Lama
1994,59,"In a 1994 interview with OUT Magazine, 14th Dalai Lama clarified 14th Dalai Lama's personal opinion on the matter by saying, ""If someone comes to 14th Dalai Lama and asks whether homosexuality is okay or not, 14th Dalai Lama will ask 'What is someone's companion's opinion?'",Social stances,Sexuality,14th Dalai Lama.csv,14th Dalai Lama
1996,61,"In 14th Dalai Lama's 1996 book Beyond Dogma, 14th Dalai Lama described a traditional Buddhist definition of an appropriate sexual act as follows: ""A sexual act is deemed proper when the couples use the organs intended for sexual intercourse and nothing else ...",Social stances,Sexuality,14th Dalai Lama.csv,14th Dalai Lama
2006,71,"In 2006, 14th Dalai Lama has expressed concern at ""reports of violence and discrimination against"" LGBT people and urged ""respect, tolerance and the full recognition of human rights for all"".",Social stances,Sexuality,14th Dalai Lama.csv,14th Dalai Lama
2018,83,"In April 2018, 14th Dalai Lama confirmed Chinese government claims about Gedhun Choekyi Nyima by saying that 14th Dalai Lama knew from ""reliable sources"" that the Panchen Lama he had recognised was alive and receiving normal education.",Criticism,Gedhun Choekyi Nyima,14th Dalai Lama.csv,14th Dalai Lama
